PHASE,TIME,AF3_MOBILITY,AF3_COMPLEXITY,AF3_POW_THETA,AF3_POW_ALPHA,AF3_POW_BETA,AF3_POW_RATIO_THETA,AF3_POW_RATIO_ALPHA,AF3_POW_RATIO_BETA,AF3_SPECTRAL_ENTROPY_THETA,AF3_SPECTRAL_ENTROPY_ALPHA,AF3_SPECTRAL_ENTROPY_BETA
1-2,1602840491.227827,0.062402745972944665,16.018223707908774,0.0,67036.28173900001,54.94705060974284,0.0,0.9991810099233381,0.0008189900766618892,nan,-1074769.5447369912,-317.59231173209076
1-2,1602840491.351753,0.06258997047062725,15.983880462375211,0.0,67031.282227,94.83132425198278,0.0,0.9985872662778313,0.0014127337221687558,nan,-1074682.1767861769,-622.7849759811803
1-2,1602840491.475580,0.0620729040362982,16.069034870427924,0.0,67109.359374,155.74863423769125,0.0,0.9976845553534439,0.0023154446465560915,nan,-1076046.6593971015,-1134.3290936460537
1-2,1602840491.599506,0.06203893882496651,16.020254512311862,0.0,68769.486819,431.43016165022794,0.0,0.9937655427055848,0.006234457294415091,nan,-1105089.959019294,-3776.300969770962
1-2,1602840491.723633,0.06288939885547107,15.939101203955733,0.0,67190.000487,159.9000345737829,0.0,0.9976258311692299,0.0023741688307700333,nan,-1077456.0876626512,-1170.6323809570147
1-2,1602840491.847559,0.06252753595671065,15.987588268770176,0.0,67018.076172,126.28157635135057,0.0,0.9981192525986378,0.0018807474013622725,nan,-1074451.399656729,-881.5085897586307
1-2,1602840491.971386,0.062463392947876825,16.00652325656006,0.0,66698.07666199999,66.25740328582438,0.0,0.9990075928381007,0.00099240716189926,nan,-1068860.5256926653,-400.85793643959937
1-2,1602840492.095512,0.06234344337190541,16.024371146414474,0.0,66657.692383,86.46203662635853,0.0,0.9987045751440229,0.001295424855977111,nan,-1068155.1086255074,-556.2963039445126
1-2,1602840492.219538,0.062480022504118875,15.999393857412098,0.0,66789.358886,67.24984663027098,0.0,0.9989941181895838,0.0010058818104162796,nan,-1070455.1384564154,-408.3046914379005
1-2,1602840492.344164,0.06259778351746711,15.988847852952777,0.0,66725.127932,105.96665929987938,0.0,0.9984144108375314,0.0015855891624686062,nan,-1069333.0666125081,-712.8871617080948
1-2,1602840492.468091,0.06260273722641137,15.992287538762074,0.0,66820.385254,185.36862485673467,0.0,0.9972335416867053,0.0027664583132945937,nan,-1070997.1802975032,-1396.6141673453267
1-2,1602840492.592416,0.06250797107820813,15.971200348204974,0.0,66913.461916,112.69136163336007,0.0,0.9983186956714258,0.0016813043285741596,nan,-1072623.387817368,-768.1305914584545
1-2,1602840492.717042,0.06278490368947996,15.911887869138258,0.0,66767.820313,165.60661720262027,0.0,0.9975258010115736,0.002474198988426409,nan,-1070078.8640437846,-1220.7884735433008
1-2,1602840492.841168,0.06263885807194004,15.995932738141065,0.0,66672.94873100001,40.652170812085146,0.0,0.9993906464309742,0.0006093535690258467,nan,-1068421.5965023884,-217.29644242045504
1-2,1602840492.965694,0.06252186594878852,15.98359608912634,0.0,66685.000488,90.87745307040873,0.0,0.998639067641303,0.0013609323586970719,nan,-1068632.1122470435,-591.2351232565302
1-2,1602840493.090521,0.06261358945663059,16.004763749999558,0.0,66806.538086,108.43720924710158,0.0,0.9983794777063184,0.0016205222936816021,nan,-1070755.2627088595,-733.1131841371811
1-2,1602840493.215447,0.06238148329900051,16.02793356996521,0.0,67024.615235,147.35380495093852,0.0,0.9978063200013789,0.0021936799986211355,nan,-1074565.6699662327,-1061.410160831565
1-2,1602840493.339773,0.06259448351289681,15.953922160950839,0.0,67017.050781,186.36743300251914,0.0,0.997226816165674,0.0027731838343259684,nan,-1074433.4810037017,-1405.5842916365652
1-2,1602840493.464599,0.06229211973865939,16.070161816446245,0.0,66814.35937600001,136.8543232619567,0.0,0.9979559097483028,0.0020440902516971893,nan,-1070891.9044085166,-971.1863218761983
1-2,1602840493.589724,0.06258416664388188,15.988346386411571,0.0,66820.0,110.39067524866638,0.0,0.9983506644121608,0.0016493355878391674,nan,-1070990.4496436964,-749.1635028249113
1-2,1602840493.713850,0.06263774483461608,15.942496297297652,0.0,66950.770021,80.79104847178311,0.0,0.9987947312104509,0.0012052687895490145,nan,-1073275.2762916489,-511.9020647099339
